start-date-time,venue-name,event-name,city,tags,duration,venue-address
2019-02-24T06:00:00Z,monroe,"after dawn w/ syd gris, scottie e and vedda",san francisco,deep house,WIP,473 broadway st
2019-02-24T12:30:00Z,mars bar,sunday funday: john simmons [chicago] birthday trifecta!,san francisco,"deep house, funky house",WIP,798 brannan st
2019-02-24T13:00:00Z,bergerac,spencer brown - day party,san francisco,progressive house,WIP,316 11th st
2019-02-24T13:00:00Z,hotel via,airpusher cloud city feat. psychemagik,san francisco,funky house,WIP,no match
2019-02-24T14:00:00Z,vinyl dreams,bob v is alive! a couch party!,san francisco,"deep house, techno, disco",WIP,593 haight st
2019-02-24T16:00:00Z,sp2 communal bar + restaurant,all the vibes featuring the whooligan x miles medina,san jose,"trap, hip-hop, future beats",WIP,389 s. first st
2019-02-24T19:00:00Z,the uc theatre taube family music hall,"lords of acid w/orgy, genitorturers, gabriel and the apocalypse",berkeley,"industrial, techno",WIP,2036 university ave
2019-02-24T21:00:00Z,monarch,werd. | mossmoss / charlotte the baroness,san francisco,"techno, tech house",WIP,101 6th st
2019-02-24T21:00:00Z,the jam (arcata),"sundaze: marjo lak, copperton3, esch",,"deep house, tech house",WIP,no match
2019-02-24T21:00:00Z,the stud,spellbound : pisces,san francisco,house,WIP,399 9th st
2019-02-24T22:00:00Z,f8 1192 folsom,"stamina sundays residents night: flaco, jamal, no-se",san francisco,"drum and bass, jungle",WIP,1192 folsom
2019-02-24T23:00:00Z,the endup,"groove sunday: nocturnal code reunion w/ lisa rose, bairfro, taj",san francisco,"tech house, deep house, techno",WIP,401 6th st
2019-02-24T23:00:00Z,the endup,"sunday night groove: nocturnal code reunion feat. lisa rose, bairfro & taj",san francisco,"tech house, deep house, techno",WIP,401 6th st
2019-02-25T07:00:00Z,underground,"visions of a new world: volume xi w/entropy worship, its own infinite flower, cahl sel, tatsuro (dj set), pacific singles, austin cesear, blakeblakeblake",san francisco,"house, techno, leftfield",WIP,424 haight st
2019-02-25T19:00:00Z,fox theater,robyn,oakland,"synthpop, dancepop, house",WIP,1807 telegraph ave
2019-02-25T20:00:00Z,rickshaw stop,robert delong + morgxn live,san francisco,"live electronic, synthpop",WIP,155 fell st
2019-02-25T20:00:00Z,republic bar & grill,bass therapy ft blaize & more,sacramento,dubstep,WIP,no match
2019-02-25T21:00:00Z,the press club,monday vibes w/ mc ham & friends,sacramento,"balearic, house, disco",WIP,no match
2019-02-25T22:00:00Z,hopmonk tavern sebastopol (sebastopol),monday night edutainment,,"dancehall, hip-hop, trap, reggae",WIP,230 petaluma ave
2019-02-26T19:00:00Z,fox theater,robyn,oakland,"synthpop, dancepop, house",WIP,1807 telegraph ave
2019-02-26T19:30:00Z,envelop at the midway,intro to spatial audio workshop w/ envelop for live,san francisco,live electronic,WIP,900 marin st
2019-02-26T20:00:00Z,the catalyst club atrium (santa cruz),haywyre,,"dubstep, future bass",WIP,1011 pacific ave
2019-02-26T21:00:00Z,the continental bar lounge & patio,rhythm ritual - residents night,san jose,house,WIP,no match
2019-02-26T22:00:00Z,monarch,"soundpieces $2 tuesday: sychosis, ryury, aeon, psamtik & arson",san francisco,"dubstep, trap, grime, hip-hop, footwork, juke, halftime drum and bass, house",WIP,101 6th st
2019-02-27T18:00:00Z,mars bar,airpusher flyby,san francisco,"tech house, deep house",WIP,798 brannan st
2019-02-27T19:00:00Z,adelines lab,"controlled chaos - b1, smomid, vt100, vsm",berkeley,"live electronic, electro",WIP,no match
2019-02-27T19:00:00Z,the midway,ableton user group - february,san francisco,music workshop,WIP,900 marin st
2019-02-27T20:00:00Z,brick & mortar music hall,defraktion presents prism,san francisco,dubstep,WIP,no match
2019-02-27T20:00:00Z,the legionnaire saloon,"rotc oak feat. frank vennci, dj kevvy kev",oakland,hip-hop,WIP,2272 telegraph ave
2019-02-27T21:00:00Z,f8 1192 folsom,"housepitality: mystic bill, johnny walker, infinite jess",san francisco,house,WIP,1192 folsom
2019-02-27T21:00:00Z,the stud,kosmetik w/ haustier,san francisco,"house, techno, disco",WIP,399 9th st
2019-02-27T22:00:00Z,wish bar and lounge,last soma haus w/ jaime james / dj sule e. / zara mez,san francisco,"tech house, funky house, jackin house, deep house",WIP,1539 folsom st
2019-02-28T17:00:00Z,vinyl dreams,niklas presents something better,san francisco,house,WIP,593 haight st
2019-02-28T19:00:00Z,great american music hall,maribou state,san francisco,electronic rock,WIP,no match
2019-02-28T20:00:00Z,rickshaw stop,"mndsgn, swarvy, lando chill",san francisco,hip-hop,WIP,155 fell st
