start-date-time,source,end-date-time,geography,name,tags,miscellaneous
Tue: Feb 26(7pm),19hz,Tue: Feb 26(7pm),Robyn @ Fox Theater (Oakland),Robyn @ Fox Theater (Oakland),"synthpop, dancepop, house",$59.50-79.50||Facebook Page
Tue: Feb 26(7:30pm-9:30pm),19hz,Tue: Feb 26(7:30pm-9:30pm),Intro To Spatial Audio Workshop w/ Envelop For Live @ Envelop At The Midway (San Francisco),Intro To Spatial Audio Workshop w/ Envelop For Live @ Envelop At The Midway (San Francisco),live electronic,$30 | 21+|Envelop|
Tue: Feb 26(8pm-11:55pm),19hz,Tue: Feb 26(8pm-11:55pm),Haywyre @ The Catalyst Club Atrium (Santa Cruz),Haywyre @ The Catalyst Club Atrium (Santa Cruz),"dubstep, future bass",$15-18 | 16+|The Catalyst Club|Facebook Page
Tue: Feb 26(8pm-1am),19hz,Tue: Feb 26(8pm-1am),"Bass Therapy: Blaize Supersonic Blast Off Tour w/Blaize, Willy Wonksta, Dr. Pockets, Hvlf Humvn, 3sum @ Republic Bar & Grill (Sacramento)","Bass Therapy: Blaize Supersonic Blast Off Tour w/Blaize, Willy Wonksta, Dr. Pockets, Hvlf Humvn, 3sum @ Republic Bar & Grill (Sacramento)","dubstep, EDM",$10 | 18+|Subphonic Events|Facebook Page
Tue: Feb 26(9pm-1:30am),19hz,Tue: Feb 26(9pm-1:30am),Rhythm Ritual - Residents Night @ The Continental Bar Lounge & Patio (San Jose),Rhythm Ritual - Residents Night @ The Continental Bar Lounge & Patio (San Jose),house,Free | 21+|Rhythm Ritual|
Tue: Feb 26(10pm-2am),19hz,Tue: Feb 26(10pm-2am),"Soundpieces $2 Tuesday: Sychosis, Ryury, Aeon, Psamtik & Arson @ Monarch (San Francisco)","Soundpieces $2 Tuesday: Sychosis, Ryury, Aeon, Psamtik & Arson @ Monarch (San Francisco)","dubstep, trap, grime, hip-hop, footwork, juke, halftime drum and bass, house",$2 b4 11 w/RSVP | 21+|Soundpieces|Facebook Page
Wed: Feb 27(6pm-10pm),19hz,Wed: Feb 27(6pm-10pm),Airpusher Flyby @ Mars Bar (San Francisco),Airpusher Flyby @ Mars Bar (San Francisco),"tech house, deep house",Free | 21+|Airpusher Collective|
Wed: Feb 27(7pm-11:59pm),19hz,Wed: Feb 27(7pm-11:59pm),"Controlled Chaos - B1, Smomid, Vt100, Vsm @ Adelines Lab (Berkeley)","Controlled Chaos - B1, Smomid, Vt100, Vsm @ Adelines Lab (Berkeley)","live electronic, electro",|Smomid|
Wed: Feb 27(7pm-9pm),19hz,Wed: Feb 27(7pm-9pm),Ableton User Group - February @ The Midway (San Francisco),Ableton User Group - February @ The Midway (San Francisco),music workshop,Free|SF Ableton User Group|
Wed: Feb 27(8pm),19hz,Wed: Feb 27(8pm),Defraktion Presents Prism @ Brick & Mortar Music Hall (San Francisco),Defraktion Presents Prism @ Brick & Mortar Music Hall (San Francisco),dubstep,"$6-10 | All ages|Brick & Mortar Music Hall, Defraktion|Facebook Page"
Wed: Feb 27(8pm-1am),19hz,Wed: Feb 27(8pm-1am),"Rotc Oak Feat. Frank Vennci, DJ Kevvy Kev @ The Legionnaire Saloon (Oakland)","Rotc Oak Feat. Frank Vennci, DJ Kevvy Kev @ The Legionnaire Saloon (Oakland)",hip-hop,21+|Return Of The Cypher - Rotc|
Wed: Feb 27(9pm-2am),19hz,Wed: Feb 27(9pm-2am),"Housepitality: Mystic Bill, Johnny Walker, Infinite Jess @ F8 1192 Folsom (San Francisco)","Housepitality: Mystic Bill, Johnny Walker, Infinite Jess @ F8 1192 Folsom (San Francisco)",house,Free w/RSVP b4 10pm / $5 pre / $10 | 21+|Housepitality|Facebook Page
Wed: Feb 27(9pm-2am),19hz,Wed: Feb 27(9pm-2am),Kosmetik w/ Haustier @ The Stud (San Francisco),Kosmetik w/ Haustier @ The Stud (San Francisco),"house, techno, disco","Free before 10pm, $5 after | 21+|Kosmetik|"
Wed: Feb 27(10pm-2am),19hz,Wed: Feb 27(10pm-2am),Last Soma Haus w/ Jaime James / DJ Sule E. / Zara Mez @ Wish Bar And Lounge (San Francisco),Last Soma Haus w/ Jaime James / DJ Sule E. / Zara Mez @ Wish Bar And Lounge (San Francisco),"tech house, funky house, jackin house, deep house",Free | 21+|Zara Mez|
Thu: Feb 28(5pm-8pm),19hz,Thu: Feb 28(5pm-8pm),Niklas Presents Something Better @ Vinyl Dreams (San Francisco),Niklas Presents Something Better @ Vinyl Dreams (San Francisco),house,Free | All ages|Niklas|
Thu: Feb 28(7pm-11:59pm),19hz,Thu: Feb 28(7pm-11:59pm),Maribou State @ Great American Music Hall (San Francisco),Maribou State @ Great American Music Hall (San Francisco),electronic rock,$18-51.72|Great American Music Hall|
Thu: Feb 28(8pm),19hz,Thu: Feb 28(8pm),"Mndsgn, Swarvy, Lando Chill @ Rickshaw Stop (San Francisco)","Mndsgn, Swarvy, Lando Chill @ Rickshaw Stop (San Francisco)",hip-hop,$15-18 | All ages|Noise Pop Festival 2019|Facebook Page
Thu: Feb 28(8pm-1:30am),19hz,Thu: Feb 28(8pm-1:30am),Deepinthehatch 3 Year Anniversary @ The Hatch (Oakland),Deepinthehatch 3 Year Anniversary @ The Hatch (Oakland),"tech house, deep house",Free | 21+|Deep In The Hatch|
Thu: Feb 28(9pm),19hz,Thu: Feb 28(9pm),"David August, Pedro Arbulu @ Mezzanine (San Francisco)","David August, Pedro Arbulu @ Mezzanine (San Francisco)","live pa, techno",$22 | 21+|Modular|Facebook Page
Thu: Feb 28(9pm),19hz,Thu: Feb 28(9pm),"The Move (Preda Records Takeover): Mixed Culture, Izan, Chango, Dayin Knight @ Enso Nightclub & Bar (San Jose)","The Move (Preda Records Takeover): Mixed Culture, Izan, Chango, Dayin Knight @ Enso Nightclub & Bar (San Jose)","bass house, tech house, electro house",Free w/RSVP|2Hrd|
Thu: Feb 28(9pm-1:30am),19hz,Thu: Feb 28(9pm-1:30am),Cosmic Duality Release Party w/ Advanced Suite & Darklord Gob @ BRIX 581 (Oakland),Cosmic Duality Release Party w/ Advanced Suite & Darklord Gob @ BRIX 581 (Oakland),"psydub, glitch, dubstep, chillstep, bass music",$10 | 21+|Synchronos Recordings|
Thu: Feb 28(9pm-1:30am),19hz,Thu: Feb 28(9pm-1:30am),Kamaal Williams Live @ The Continental Bar Lounge & Patio (San Jose),Kamaal Williams Live @ The Continental Bar Lounge & Patio (San Jose),"garage, funk, jazz",$15-25 | 21+|Universal Grammar|Facebook Page
Thu: Feb 28(9pm-12am),19hz,Thu: Feb 28(9pm-12am),Spats Throw Down Thursday @ Spats (Berkeley),Spats Throw Down Thursday @ Spats (Berkeley),"bass house, g-house, disco",21+|Spats' Throw Down Thursdays|
Thu: Feb 28(9pm-2am),19hz,Thu: Feb 28(9pm-2am),"Lightworks - Oakland Dilla Day w/Stanley Ipkuss, Drewmin, Chris Keys, Mophono, Argonaut, Deejay Saruus, Marc Stretch, Bobby Ganush @ The Legionnaire Saloon (Oakland)","Lightworks - Oakland Dilla Day w/Stanley Ipkuss, Drewmin, Chris Keys, Mophono, Argonaut, Deejay Saruus, Marc Stretch, Bobby Ganush @ The Legionnaire Saloon (Oakland)","hip-hop, breaks",$10 | 21+|Heavyweight Crates & Smart Bomb|Facebook Page
Thu: Feb 28(9pm-2am),19hz,Thu: Feb 28(9pm-2am),Play - An EDM Biweekly @ Blondie's (Davis),Play - An EDM Biweekly @ Blondie's (Davis),"dubstep, trap, glitch hop, bass music",Free w/RSVP|Niteshade Nights|Facebook Page
Thu: Feb 28(9:30pm-1am),19hz,Thu: Feb 28(9:30pm-1am),Project O1 Ft Jayceeoh @ Social Nightclub (Sacramento),Project O1 Ft Jayceeoh @ Social Nightclub (Sacramento),"trap, future bass",$5 | 21+|National Entity|Facebook Page
Thu: Feb 28(9:30pm-2am),19hz,Thu: Feb 28(9:30pm-2am),Maribou State (DJ Set) @ Bergerac (San Francisco),Maribou State (DJ Set) @ Bergerac (San Francisco),electronic rock,$10-15 | 21+|Bergerac San Francisco|Facebook Page
