start-date-time,end-date-time,geography,name,tags,link,miscellaneous
Wed: Mar 27-Sun: Mar 31(Wed: 4pm-Sun: 12am),Wed: Mar 27-Sun: Mar 31(Wed: 4pm-Sun: 12am),Mvmnt Bay Area Dance Festival @ MVMNT Studio (Berkeley),Mvmnt Bay Area Dance Festival @ MVMNT Studio (Berkeley),"house, hip-hop",,All agesMvmnt Studio
Wed: Apr 3(5pm-8pm),Wed: Apr 3(5pm-8pm),Inquiry Ambient Night w/ Ann Annie & Constant Shapes @ 111 Minna Gallery (San Francisco),Inquiry Ambient Night w/ Ann Annie & Constant Shapes @ 111 Minna Gallery (San Francisco),"ambient, live electronic",,Free | 21+Inquiry Collective
Wed: Apr 3(8pm-12am),Wed: Apr 3(8pm-12am),DJmaDRE @ The Royale (San Francisco),DJmaDRE @ The Royale (San Francisco),"future bass, hip hop, funk, soul, global bass",http://www.theroyalesf.com/calendar-1/,Free | 21+Will Weston
Wed: Apr 3(9pm-2am),Wed: Apr 3(9pm-2am),"Housepitality: Leo Leal, Jason Peters, Micah Byrnes @ F8 1192 Folsom (San Francisco)","Housepitality: Leo Leal, Jason Peters, Micah Byrnes @ F8 1192 Folsom (San Francisco)","deep house, progressive house, tech house, techno",https://www.facebook.com/events/1591541960990608/,Free w/RSVP b4 10pm / $5 pre / $10 | 21+Housepitality
Wed: Apr 3(9:30pm-2am),Wed: Apr 3(9:30pm-2am),CCVO Wednesdays @ Wish (San Francisco),CCVO Wednesdays @ Wish (San Francisco),house,https://www.facebook.com/events/2195948600735619/,Free | 21+CCVO
Thu: Apr 4(5pm-8pm),Thu: Apr 4(5pm-8pm),Niklas Presents Something Better @ Vinyl Dreams (San Francisco),Niklas Presents Something Better @ Vinyl Dreams (San Francisco),house,,Free | All agesNiklas Aka 'Sticky' Nicky Shoes
Thu: Apr 4(7pm),Thu: Apr 4(7pm),San Holo @ Ace Of Spades (Sacramento),San Holo @ Ace Of Spades (Sacramento),"future bass, trap, dubstep",https://www.facebook.com/events/2215369435448746/,$40-99 | All agesAce Of Spades
Thu: Apr 4(8pm),Thu: Apr 4(8pm),"Space Jesus w/Buku, Huxley Anne, Eazybaked @ The Catalyst (Santa Cruz)","Space Jesus w/Buku, Huxley Anne, Eazybaked @ The Catalyst (Santa Cruz)","dubstep, glitch-hop, bass music",https://www.facebook.com/events/193929448157401/,$20 | 16+The Catalyst: 'Temple Of Noom Tour'
Thu: Apr 4(8pm-1:30am),Thu: Apr 4(8pm-1:30am),"Fluxtuated: DNSB, BLK&WHT, Nyctea, JMNI, BTRDTST @ 18 Harlan Pl (San Francisco)","Fluxtuated: DNSB, BLK&WHT, Nyctea, JMNI, BTRDTST @ 18 Harlan Pl (San Francisco)","tech house, deep house",https://www.facebook.com/events/2027359097564372/,Free w/RSVP | 21+Housekeepingentertainment
Thu: Apr 4(8pm-10:30pm),Thu: Apr 4(8pm-10:30pm),"What Is A Lo-Fi? Feat. Kero One, Ninjoi. @ 7th West (Oakland)","What Is A Lo-Fi? Feat. Kero One, Ninjoi. @ 7th West (Oakland)",hip-hop,https://www.facebook.com/events/965837943807024/,$10-12 | 21+7th West & Plug
